Capacite_accueil,NbChambres,frais_menage,Latitude,Longitude,Caution,Prix_Estime
2.0,1.0,0.0,44.8224864304,-0.5624049921,0.0,45.281092995310246
2.0,1.0,0.0,44.8526472094,-0.6097884127,0.0,56.38104847277464
2.0,0.0,0.0,44.8288888764,-0.5753083968,200.0,37.41615930002172
1.0,1.0,0.0,44.8450977262,-0.5487962452,0.0,38.378938397744605
4.0,1.0,8.0,44.82891332,-0.5956963043,200.0,75.17080824495952
6.0,3.0,0.0,44.8428105747,-0.5634684455,500.0,126.65625517989065
6.0,3.0,0.0,44.860269904,-0.5703552708,0.0,116.45163172339926
4.0,2.0,0.0,44.8654055904,-0.5730562237,500.0,98.88160082804643
2.0,1.0,35.0,44.8389247548,-0.5741107317,500.0,73.71005567772045
3.0,2.0,0.0,44.8327304931,-0.5736377234,0.0,72.57064756548607
2.0,1.0,0.0,44.8520666825,-0.5761374372,500.0,65.09901346043353
4.0,1.0,0.0,44.837014456,-0.5708830816,0.0,64.8044964068431
3.0,1.0,5.0,44.8283038803,-0.5781668174,150.0,62.13904577232461
7.0,4.0,60.0,44.8475454601,-0.5467432039,1500.0,194.89434091665225
2.0,1.0,0.0,44.8525710809,-0.5787380879,0.0,51.88391106026302
4.0,1.0,30.0,44.8428728504,-0.5808372484,300.0,84.4867173051689
2.0,1.0,0.0,44.8394052811,-0.574914649,0.0,49.47467842430433
2.0,1.0,0.0,44.8444011363,-0.5809999253,400.0,61.98810176989173
3.0,1.0,30.0,44.8475584486,-0.5831420139,300.0,77.35578855887798
4.0,1.0,0.0,44.8654344476,-0.572618144,0.0,69.0633038789747
5.0,3.0,0.0,44.8720074867,-0.5486497388,1000.0,134.1700560057061
2.0,1.0,0.0,44.8404618254,-0.5781949434,0.0,50.0976477075219
5.0,1.0,50.0,44.8456169439,-0.5788279076,3500.0,186.29198961905604
4.0,2.0,0.0,44.8332633889,-0.5759440395,300.0,89.30099493007765
2.0,1.0,0.0,44.8440904126,-0.5926169542,0.0,52.69320072915616
3.0,1.0,15.0,44.8490409519,-0.5728069128,800.0,85.12329873282124
4.0,2.0,0.0,44.8364867972,-0.5709541854,0.0,80.83742165567128
4.0,2.0,0.0,44.8521606797,-0.5739148568,200.0,88.94051370321722
2.0,1.0,0.0,44.8383777811,-0.5732609123,0.0,49.09082345120896
1.0,1.0,0.0,44.8622075567,-0.5775542791,0.0,44.94715429745429
2.0,1.0,0.0,44.8569136535,-0.5706513777,0.0,51.32791723479295
4.0,1.0,0.0,44.8302153387,-0.5895543506,800.0,88.40258471430298
